,PLAYER_ID,SCORE,id,player_names,position,team
301,201950,-0.5845759168493498,201950,Jrue Holiday,G,MIL
340,203082,-0.5962980047143327,203082,Terrence Ross,G,ORL
274,200782,-0.5988756830044918,200782,PJ Tucker,F,MIL
410,2544,-0.6145902549781371,2544,LeBron James,F,LAL
126,1629006,-0.6178459833511855,1629006,Josh Okogie,G,MIN
244,1630197,-0.6381118464889046,1630197,Aleksej Pokusevski,F,OKC
359,203469,-0.6398769993768781,203469,Cody Zeller,F,CHA
15,1626168,-0.641501315105487,1626168,Trey Lyles,F,SAS
10,1626162,-0.6439012012143132,1626162,Kelly Oubre,F,GSW
100,1628964,-0.6484076148347994,1628964,Mo Bamba,C,ORL
115,1628989,-0.6503456325129958,1628989,Kevin Huerter,G,ATL
293,201599,-0.6506667303201135,201599,DeAndre Jordan,C,BKN
303,201961,-0.6630858218623241,201961,Wayne Ellington,G,DET
79,1628396,-0.6657915534540118,1628396,Tony Bradley,C,OKC
381,203585,-0.6751706101629499,203585,Rodney McGruder,G,DET
226,1630173,-0.6768909164429723,1630173,Precious Achiuwa,F,MIA
358,203468,-0.6857105277859451,203468,CJ McCollum,G,POR
240,1630191,-0.6894885349873353,1630191,Isaiah Stewart,F,DET
302,201959,-0.6945119006092952,201959,Taj Gibson,F,NYK
279,201145,-0.6954867282733221,201145,Jeff Green,F,BKN
396,203937,-0.7021828092522989,203937,Kyle Anderson,F,MEM
164,1629627,-0.7030263676928528,1629627,Zion Williamson,F,NOP
59,1627936,-0.7035603093319556,1627936,Alex Caruso,G,LAL
83,1628402,-0.7038644913604515,1628402,Frank Jackson,G,DET
393,203932,-0.7085196216705396,203932,Aaron Gordon,F,DEN
213,1629750,-0.7296142466507964,1629750,Javonte Green,G,CHI
7,1626158,-0.7430713239563359,1626158,Richaun Holmes,F,SAC
154,1629216,-0.7494280838857105,1629216,Gabe Vincent,G,MIA
112,1628983,-0.7536893738479936,1628983,Shai Gilgeous-Alexander,G,OKC
82,1628401,-0.7541292028211787,1628401,Derrick White,G,SAS
376,203506,-0.7558137165851867,203506,Victor Oladipo,G,MIA
19,1626179,-0.7582345832830899,1626179,Terry Rozier,G,CHA
348,203109,-0.760024233414814,203109,Jae Crowder,F,PHX
167,1629630,-0.7677100819849761,1629630,Ja Morant,G,MEM
329,202699,-0.7713799104655117,202699,Tobias Harris,F,PHI
356,203458,-0.7847529340022735,203458,Alex Len,C,WAS
134,1629021,-0.8042705082196336,1629021,Moritz Wagner,F,ORL
89,1628425,-0.8093066033052806,1628425,Sterling Brown,G,HOU
296,201935,-0.8275625462494332,201935,James Harden,G,BKN
308,202322,-0.8275743905703319,202322,John Wall,G,HOU
99,1628963,-0.8291879657133622,1628963,Marvin Bagley,F,SAC
408,204060,-0.8387115844902965,204060,Joe Ingles,F,UTA
209,1629723,-0.8392856942115008,1629723,John Konchar,G,MEM
197,1629672,-0.8406670135923457,1629672,Eric Paschall,F,GSW
63,1628367,-0.8525968539420564,1628367,Josh Jackson,G,DET
386,203914,-0.8779119426533691,203914,Gary Harris,G,ORL
144,1629057,-0.8883891524854929,1629057,Robert Williams,C,BOS
208,1629719,-0.9171170706822542,1629719,Devontae Cacok,F,LAL
113,1628984,-0.9373947162815068,1628984,Devonte Graham,G,CHA
335,202734,-0.94867994497426,202734,E'Twaun Moore,G,PHX
211,1629731,-0.9557338254066087,1629731,Dean Wade,F,CLE
9,1626161,-0.9643937631832318,1626161,Willie Cauley-Stein,C,DAL
41,1627761,-0.9737392026015148,1627761,DeAndre Bembry,G,TOR
129,1629012,-0.9742854927649726,1629012,Collin Sexton,G,CLE
117,1628991,-0.9745603352877955,1628991,Jaren Jackson Jr,F,MEM
44,1627777,-0.9777038726374184,1627777,Georges Niang,F,UTA
174,1629638,-0.9877816879801099,1629638,Nickeil Alexander-Walker,G,NOP
349,203110,-0.9999216337159146,203110,Draymond Green,F,GSW
288,201577,-1.003152893052109,201577,Robin Lopez,C,WAS
104,1628971,-1.0284560014830273,1628971,Bruce Brown,G,BKN
225,1630172,-1.0365153834369185,1630172,Patrick Williams,F,CHI
114,1628988,-1.0505277858363606,1628988,Aaron Holiday,G,IND
12,1626164,-1.0626857873754774,1626164,Devin Booker,G,PHX
414,2738,-1.0674649154291291,2738,Andre Iguodala,G,MIA
399,203952,-1.0754141328678906,203952,Andrew Wiggins,F,GSW
8,1626159,-1.0852118707917657,1626159,Justise Winslow,F,MEM
385,203903,-1.0988455938031794,203903,Jordan Clarkson,G,UTA
255,1630217,-1.100785013557197,1630217,Desmond Bane,G,MEM
362,203476,-1.1745063233999247,203476,Gorgui Dieng,C,SAS
0,101108,-1.1827667706242848,101108,Chris Paul,G,PHX
347,203107,-1.1842291958902726,203107,Tomas Satoransky,G,CHI
336,202954,-1.1858643717187594,202954,Brad Wanamaker,G,CHA
265,1630256,-1.2102203686521515,1630256,Jae'Sean Tate,F,HOU
175,1629639,-1.2149342574262778,1629639,Tyler Herro,G,MIA
73,1628380,-1.2249707281038718,1628380,Zach Collins,F,POR
334,202722,-1.2347022159893022,202722,Davis Bertans,F,WAS
56,1627854,-1.2371732692762285,1627854,Bryn Forbes,G,MIL
379,203526,-1.2594565918427494,203526,Raul Neto,G,WAS
397,203939,-1.2651557999095195,203939,Dwight Powell,F,DAL
177,1629641,-1.2808841170616172,1629641,Romeo Langford,G,BOS
324,202692,-1.2991167479923227,202692,Alec Burks,G,NYK
58,1627884,-1.3120931667158882,1627884,Derrick Jones,F,POR
317,202397,-1.324503952058708,202397,Ishmael Smith,G,WAS
21,1626192,-1.3381906880681322,1626192,Pat Connaughton,G,MIL
97,1628960,-1.3569612909232627,1628960,Grayson Allen,G,MEM
392,203926,-1.3760516810801342,203926,Doug McDermott,F,IND
14,1626167,-1.379120033509425,1626167,Myles Turner,C,IND
16,1626171,-1.398324194702803,1626171,Bobby Portis,F,MIL
343,203085,-1.4014332018464222,203085,Austin Rivers,G,DEN
55,1627846,-1.428788326959678,1627846,Abdel Nader,F,PHX
150,1629134,-1.4432619255964236,1629134,Kendrick Nunn,G,MIA
30,1627736,-1.452639618690756,1627736,Malik Beasley,G,MIN
88,1628420,-1.4573107559076646,1628420,Monte Morris,G,DEN
182,1629647,-1.4580648299651529,1629647,Darius Bazley,F,OKC
229,1630176,-1.4800535770362655,1630176,Vernon Carey,F,CHA
298,201939,-1.480137396454137,201939,Stephen Curry,G,GSW
375,203504,-1.5270637834411578,203504,Trey Burke,G,DAL
60,1628021,-1.5769530080858678,1628021,David Nwaba,G,HOU
105,1628972,-1.5827375904494914,1628972,Troy Brown,G,CHI
51,1627823,-1.5873557550236865,1627823,Juan Hernangomez,F,MIN
124,1629003,-1.6203476721348942,1629003,Shake Milton,G,PHI
163,1629626,-1.6543094597700128,1629626,Bol Bol,C,DEN
48,1627788,-1.662957474591241,1627788,Furkan Korkmaz,G,PHI
160,1629611,-1.6699865079094982,1629611,Terance Mann,G,LAC
330,202704,-1.6865585806420078,202704,Reggie Jackson,G,LAC
131,1629014,-1.7493103284340563,1629014,Anfernee Simons,G,POR
242,1630193,-1.758548062788349,1630193,Immanuel Quickley,G,NYK
345,203090,-1.7670166453567886,203090,Moe Harkless,F,SAC
220,1630167,-1.7862964287857546,1630167,Obi Toppin,F,NYK
135,1629022,-1.8022608994432106,1629022,Lonnie Walker,G,SAS
331,202709,-1.8114307771397782,202709,Cory Joseph,G,DET
11,1626163,-1.8540070165297269,1626163,Frank Kaminsky,F,PHX
123,1629002,-1.9152897193678413,1629002,Chimezie Metu,F,SAC
231,1630178,-1.9264531499734483,1630178,Tyrese Maxey,G,PHI
103,1628970,-1.937176499772447,1628970,Miles Bridges,F,CHA
382,203648,-1.947776947328183,203648,Thanasis Antetokounmpo,F,MIL
267,1630267,-1.9557687040463592,1630267,Facundo Campazzo,G,DEN
