,0
1460,201572
1461,201577
1462,201580
1463,201584
1464,201586
1465,201587
1466,201588
1467,201599
1468,201609
1469,201933
1470,201935
1471,201937
1472,201942
1473,201950
1474,201952
1475,201959
1476,201961
1477,201976
1478,201980
1479,201988
1480,202066
1481,202083
1482,202323
1483,202329
1484,202330
1485,202331
1486,202334
1487,202335
1488,202339
1489,202340
1490,202355
1491,202357
1492,202397
1493,202681
1494,202683
1495,202684
1496,202685
1497,202687
1498,202688
1499,202689
1500,202692
1501,202693
1502,202694
1503,202695
1504,202696
1505,202697
1506,202699
1507,202709
1508,202710
1509,202711
1510,202722
1511,202734
1512,202738
1513,202954
1514,203076
1515,203078
1516,203081
1517,203082
1518,203083
1519,203084
1520,203085
1521,203086
1522,203087
1523,203090
1524,203095
1525,203107
1526,203109
1527,203110
1528,203114
1529,203115
1530,203118
1531,203124
1532,203145
1533,203200
1534,203210
1535,203382
1536,203457
1537,203458
1538,203459
1539,203463
1540,203468
1541,203469
1542,203471
1543,203476
1544,203482
1545,203484
1546,203486
1547,203487
1548,203488
1549,203490
1550,203496
1551,203497
1552,203500
1553,203501
1554,203503
1555,203504
1556,203507
1557,203516
1558,203521
1559,203524
1560,203526
1561,203552
1562,203584
1563,203585
1564,203648
1565,203658
1566,203894
1567,203895
1568,203897
1569,203901
1570,203903
1571,203914
1572,203915
1573,203918
1574,203920
1575,203922
1576,203924
1577,203925
1578,203926
1579,203932
1580,203933
1581,203935
1582,203937
1583,203939
1584,203943
1585,203944
1586,203952
1587,203953
1588,203954
1589,203967
1590,203991
1591,203992
1592,203998
1593,203999
1594,204001
1595,204020
1596,204025
1597,204038
1598,204060
1599,204456
1600,2199
1601,2544
1602,2546
1603,2594
1604,2730
1605,2772
1606,101107
1607,101108
1608,101139
1609,101141
1610,101150
1611,1626143
1612,1626144
1613,1626145
1614,1626149
1615,1626153
1616,1626156
1617,1626157
1618,1626158
1619,1626159
1620,1626161
1621,1626162
1622,1626163
1623,1626164
1624,1626167
1625,1626168
1626,1626169
1627,1626171
1628,1626172
1629,1626178
1630,1626179
1631,1626181
1632,1626188
1633,1626192
1634,1626196
1635,1626203
1636,1626204
1637,1626209
1638,1626220
1639,1626224
1640,1626246
1641,1626259
1642,1627732
1643,1627733
1644,1627734
1645,1627736
1646,1627737
1647,1627739
1648,1627741
1649,1627742
1650,1627745
1651,1627747
1652,1627748
1653,1627749
1654,1627750
1655,1627751
1656,1627752
1657,1627756
1658,1627759
1659,1627761
1660,1627763
1661,1627767
1662,1627774
1663,1627775
1664,1627777
1665,1627780
1666,1627783
1667,1627788
1668,1627790
1669,1627812
1670,1627814
1671,1627820
1672,1627823
1673,1627826
1674,1627827
1675,1627832
1676,1627846
1677,1627853
1678,1627854
1679,1627863
1680,1627884
1681,1627885
1682,1627936
1683,1628021
1684,1628035
1685,1628365
1686,1628366
1687,1628368
1688,1628369
1689,1628370
1690,1628371
1691,1628372
1692,1628373
1693,1628374
1694,1628378
1695,1628379
1696,1628381
1697,1628382
1698,1628384
1699,1628385
1700,1628386
1701,1628389
1702,1628390
1703,1628392
1704,1628394
1705,1628395
1706,1628396
1707,1628398
1708,1628400
1709,1628401
1710,1628402
1711,1628404
1712,1628405
1713,1628407
1714,1628410
1715,1628411
1716,1628412
1717,1628413
1718,1628415
1719,1628418
1720,1628420
1721,1628422
1722,1628425
1723,1628427
1724,1628436
1725,1628449
1726,1628464
1727,1628467
1728,1628470
1729,1628476
1730,1628513
1731,1628960
1732,1628961
1733,1628963
1734,1628964
1735,1628966
1736,1628968
1737,1628969
1738,1628970
1739,1628971
1740,1628972
1741,1628973
1742,1628975
1743,1628976
1744,1628977
1745,1628978
1746,1628980
1747,1628981
1748,1628983
1749,1628984
1750,1628985
1751,1628988
1752,1628989
1753,1628990
1754,1628991
1755,1628993
1756,1628995
1757,1628998
1758,1629001
1759,1629003
1760,1629004
1761,1629006
1762,1629008
1763,1629010
1764,1629011
1765,1629012
1766,1629013
1767,1629014
1768,1629016
1769,1629017
1770,1629018
1771,1629019
1772,1629021
1773,1629022
1774,1629023
1775,1629026
1776,1629027
1777,1629029
1778,1629033
1779,1629035
1780,1629048
1781,1629052
1782,1629056
1783,1629057
1784,1629058
1785,1629059
1786,1629060
1787,1629065
1788,1629066
1789,1629067
1790,1629103
1791,1629109
1792,1629126
1793,1629130
1794,1629133
1795,1629134
1796,1629162
1797,1629168
1798,1629185
1799,1629598
1800,1629607
1801,1629611
1802,1629620
1803,1629628
1804,1629629
1805,1629630
1806,1629631
1807,1629632
1808,1629633
1809,1629634
1810,1629636
1811,1629637
1812,1629638
1813,1629639
1814,1629642
1815,1629645
1816,1629647
1817,1629650
1818,1629651
1819,1629655
1820,1629660
1821,1629661
1822,1629667
1823,1629671
1824,1629673
1825,1629675
1826,1629678
1827,1629680
1828,1629684
1829,1629713
1830,1629723
1831,1629735
1832,1629738
1833,1629740
1834,1629741
1835,1629750
1836,1629752
1837,1713
1838,200746
1839,200752
1840,200755
1841,200757
1842,200765
1843,200768
1844,200782
1845,200826
1846,201143
1847,201144
1848,201145
1849,201152
1850,201158
1851,201162
1852,201163
1853,201188
1854,201229
1855,201565
1856,201566
1857,201567
1858,201568
1859,201569
1860,201571
1861,201572
1862,201577
1863,201580
1864,201584
1865,201586
1866,201587
1867,201588
1868,201599
1869,201609
1870,201933
1871,201935
1872,201937
1873,201939
1874,201942
1875,201950
1876,201952
1877,201959
1878,201960
1879,201961
1880,201976
1881,201980
1882,201988
1883,202066
1884,202083
1885,202323
1886,202330
1887,202331
1888,202334
1889,202335
1890,202339
1891,202340
1892,202355
1893,202357
1894,202397
1895,202681
1896,202683
1897,202684
1898,202687
1899,202688
1900,202689
1901,202692
1902,202693
1903,202694
1904,202695
1905,202697
1906,202699
1907,202704
1908,202709
1909,202710
1910,202711
1911,202718
1912,202722
1913,202734
1914,202738
1915,202954
1916,203076
1917,203077
1918,203078
1919,203081
1920,203082
1921,203083
1922,203084
1923,203085
1924,203086
1925,203087
1926,203089
1927,203090
1928,203095
1929,203107
1930,203109
1931,203110
1932,203114
1933,203115
1934,203118
1935,203124
1936,203145
1937,203200
1938,203210
1939,203382
1940,203457
1941,203458
1942,203459
1943,203463
1944,203468
1945,203469
1946,203471
1947,203473
1948,203476
1949,203482
1950,203484
1951,203486
1952,203487
1953,203488
1954,203496
1955,203497
1956,203500
1957,203501
1958,203503
1959,203504
1960,203507
1961,203516
1962,203521
1963,203524
1964,203526
1965,203552
1966,203584
1967,203585
1968,203658
1969,203894
1970,203895
1971,203897
1972,203901
1973,203903
1974,203914
1975,203915
1976,203918
1977,203920
1978,203922
1979,203924
1980,203925
1981,203926
1982,203932
1983,203933
1984,203935
1985,203937
1986,203939
1987,203943
1988,203944
1989,203952
1990,203953
1991,203954
1992,203957
1993,203960
1994,203967
1995,203991
1996,203992
1997,203998
1998,203999
1999,204001
2000,204020
2001,204025
2002,204038
2003,204060
2004,204456
2005,2544
2006,2546
2007,2594
2008,2617
2009,2730
2010,2772
2011,101107
2012,101108
2013,101139
2014,101141
2015,101150
2016,1626143
2017,1626144
2018,1626149
2019,1626153
2020,1626156
2021,1626157
2022,1626158
2023,1626159
2024,1626161
2025,1626162
2026,1626163
2027,1626164
2028,1626167
2029,1626168
2030,1626169
2031,1626171
2032,1626172
2033,1626174
2034,1626178
2035,1626179
2036,1626181
2037,1626188
2038,1626192
2039,1626195
2040,1626196
2041,1626203
2042,1626204
2043,1626209
2044,1626220
2045,1626224
2046,1626246
2047,1626259
2048,1627732
2049,1627734
2050,1627736
2051,1627737
2052,1627739
2053,1627741
2054,1627742
2055,1627745
2056,1627746
2057,1627747
2058,1627748
2059,1627749
2060,1627750
2061,1627751
2062,1627752
2063,1627756
2064,1627759
2065,1627761
2066,1627763
2067,1627767
2068,1627774
2069,1627775
2070,1627777
2071,1627780
2072,1627783
2073,1627788
2074,1627789
2075,1627812
2076,1627814
2077,1627820
2078,1627823
2079,1627827
2080,1627832
2081,1627846
2082,1627853
2083,1627854
2084,1627863
2085,1627884
2086,1627885
2087,1627936
2088,1627982
2089,1628021
2090,1628035
2091,1628365
2092,1628366
2093,1628368
2094,1628369
2095,1628370
2096,1628371
2097,1628372
2098,1628373
2099,1628374
2100,1628378
2101,1628379
2102,1628381
2103,1628382
2104,1628384
2105,1628386
2106,1628388
2107,1628389
2108,1628390
2109,1628391
2110,1628392
2111,1628394
2112,1628395
2113,1628396
2114,1628398
2115,1628400
2116,1628401
2117,1628402
2118,1628404
2119,1628405
2120,1628407
2121,1628410
2122,1628411
2123,1628415
2124,1628418
2125,1628420
2126,1628422
2127,1628425
2128,1628427
2129,1628430
2130,1628436
2131,1628449
2132,1628464
2133,1628467
2134,1628470
2135,1628476
2136,1628518
2137,1628960
2138,1628963
2139,1628964
2140,1628966
2141,1628969
2142,1628970
2143,1628971
2144,1628972
2145,1628973
2146,1628975
2147,1628976
2148,1628977
2149,1628978
2150,1628980
2151,1628981
2152,1628982
2153,1628983
2154,1628984
2155,1628985
2156,1628988
2157,1628989
2158,1628990
2159,1628991
2160,1628993
2161,1628995
2162,1628998
2163,1629001
2164,1629002
2165,1629003
2166,1629004
2167,1629006
2168,1629008
2169,1629010
2170,1629011
2171,1629012
2172,1629013
2173,1629014
2174,1629016
2175,1629018
2176,1629019
2177,1629020
2178,1629021
2179,1629022
2180,1629023
2181,1629026
2182,1629027
2183,1629029
2184,1629033
2185,1629035
2186,1629048
2187,1629052
2188,1629056
2189,1629057
2190,1629058
2191,1629059
2192,1629060
2193,1629065
2194,1629066
2195,1629067
2196,1629076
2197,1629109
2198,1629117
2199,1629126
2200,1629130
2201,1629134
2202,1629140
2203,1629151
2204,1629162
2205,1629185
2206,1629346
2207,1629598
2208,1629599
2209,1629605
2210,1629610
2211,1629611
2212,1629622
2213,1629628
2214,1629629
2215,1629630
2216,1629631
2217,1629632
2218,1629633
2219,1629634
2220,1629636
2221,1629637
2222,1629638
2223,1629639
2224,1629641
2225,1629642
2226,1629645
2227,1629647
2228,1629649
2229,1629651
2230,1629652
2231,1629660
2232,1629661
2233,1629669
2234,1629672
2235,1629673
2236,1629675
2237,1629678
2238,1629680
2239,1629684
2240,1629713
2241,1629718
2242,1629726
2243,1629735
2244,1629741
2245,1629744
2246,1629750
