,PLAYER_ID,SCORE,id,player_names,position,team
329,202711,-1.5989652457001682,202711,Bojan Bogdanovic,F,UTA
142,1629060,-1.6021929320222137,1629060,Rui Hachimura,F,WAS
4,1626153,-1.6510795554212057,1626153,Delon Wright,G,SAC
248,1630208,-1.6675393062850854,1630208,Nick Richards,C,CHA
54,1627846,-1.668053342345293,1627846,Abdel Nader,F,PHX
239,1630193,-1.6726826568780064,1630193,Immanuel Quickley,G,NYK
363,203488,-1.6870055662213586,203488,Mike Muscala,F,OKC
109,1628983,-1.6981139318114669,1628983,Shai Gilgeous-Alexander,G,OKC
381,203903,-1.730214212790536,203903,Jordan Clarkson,G,UTA
213,1630163,-1.7413276946679155,1630163,LaMelo Ball,G,CHA
402,203999,-1.7471046725925226,203999,Nikola Jokic,C,DEN
375,203526,-1.7500292709043257,203526,Raul Neto,G,WAS
391,203935,-1.7585846716150817,203935,Marcus Smart,G,BOS
251,1630216,-1.814726277439685,1630216,Cassius Winston,G,WAS
72,1628384,-1.8240963678924957,1628384,OG Anunoby,F,TOR
278,201565,-1.82752065019488,201565,Derrick Rose,G,NYK
348,203145,-1.8285659722468521,203145,Kent Bazemore,G,GSW
233,1630184,-1.844029375260549,1630184,Kira Lewis,G,NOP
17,1626172,-1.857501411246976,1626172,Kevon Looney,F,GSW
10,1626162,-1.888944939447873,1626162,Kelly Oubre,F,GSW
58,1627936,-1.9022034713544231,1627936,Alex Caruso,G,LAL
389,203932,-1.9105854225702263,203932,Aaron Gordon,F,DEN
397,203954,-1.9190865590321746,203954,Joel Embiid,C,PHI
127,1629013,-1.9279277633791216,1629013,Landry Shamet,G,BKN
32,1627742,-1.9280496980273445,1627742,Brandon Ingram,F,NOP
408,2730,-1.9440357149663297,2730,Dwight Howard,C,PHI
229,1630180,-1.9628590076445982,1630180,Saddiq Bey,F,DET
337,203083,-1.9642182017456162,203083,Andre Drummond,C,LAL
342,203095,-1.9650862473121111,203095,Evan Fournier,G,BOS
360,203484,-2.0060094307240304,203484,Kentavious Caldwell-Pope,G,LAL
237,1630191,-2.022063579177041,1630191,Isaiah Stewart,F,DET
223,1630173,-2.0252457436285747,1630173,Precious Achiuwa,F,MIA
172,1629639,-2.05937476325785,1629639,Tyler Herro,G,MIA
121,1629003,-2.0713919492541972,1629003,Shake Milton,G,PHI
204,1629717,-2.0769579598505366,1629717,Armoni Brooks,G,HOU
404,204060,-2.1054312425984847,204060,Joe Ingles,F,UTA
100,1628970,-2.10586162177878,1628970,Miles Bridges,F,CHA
269,200765,-2.135154744714507,200765,Rajon Rondo,G,LAC
81,1628404,-2.1481472298389894,1628404,Josh Hart,G,NOP
334,203078,-2.1739929301760177,203078,Bradley Beal,G,WAS
258,1630235,-2.1787978864374544,1630235,Trent Forrest,G,UTA
102,1628972,-2.1911940192194104,1628972,Troy Brown,G,CHI
207,1629726,-2.20539888831302,1629726,Garrison Mathews,G,WAS
62,1628367,-2.2179349207115773,1628367,Josh Jackson,G,DET
