,id,season,salary,PLAYER_AGE_y,RAPM,POSITION_Center,POSITION_Center-Forward,POSITION_Forward,POSITION_Forward-Center,POSITION_Forward-Guard,POSITION_Guard,POSITION_Guard-Forward,HEIGHT_METER,WEIGHT_KG,DRAFT_NUMBER,DRAFT_YEAR,GP,GS,PTS,AST,STL,BLK,TOV,PF,OREB,DREB,MIN,FG_PCT,FGA,FG3_PCT,FG3A,FT_PCT,FTA,ROOKIE,ROOKIE_AGE,FROM_US,coef_perc_rank,Undrafted,Undrafted_Rookie,log_rapm,RAPM_2,log_rapm_2,log_salary,PLAYER_AGE,PLAYER_AGE_2,BMI,log_BMI,next_season_salary,season_merge,log_next_season_salary,DISPLAY_FIRST_LAST
41,202687.0,2016/17,17000000.0,24.0,-1.24,1,0,0,0,0,0,0,2.03,115.67,7.0,2011,81,27,6.0,0.9,0.3,1.1,1.2,2.5,1.9,5.1,22.1,0.528,4.2,0.0,0.0,0.534,2.9,0.0,,0,20.77,0.0,0.0,,1.5376,0.9312187524583918,16.648723960844016,24.0,576.0,28.069111116503684,3.3696761367556336,17000000.0,2016/17,16.648723960844016,Bismack Biyombo
42,201933.0,2016/17,20093064.0,28.0,2.44,0,0,1,0,0,0,0,2.06,113.4,1.0,2009,61,61,21.6,4.9,0.9,0.4,2.3,2.6,1.8,6.3,34.0,0.493,15.9,0.336,1.9,0.76,6.9,0.0,,1,10.38,0.0,0.0,1.235471471385307,5.9536,1.9392595110799735,16.815885288618905,28.0,784.0,26.722594023941937,3.3222477494506983,29512900.0,2016/17,17.200338047746538,Blake Griffin
43,1626246.0,2016/17,5628000.0,28.0,0.16,1,0,0,0,0,0,0,2.21,131.54,61.0,Undrafted,35,0,5.5,0.3,0.2,0.3,0.3,0.7,1.3,2.4,8.4,0.545,3.8,0.0,0.0,0.81,1.7,0.0,,0,69.39999999999999,1.0,0.0,0.14842000511827327,0.0256,0.025277807184268544,15.543264874899414,28.0,784.0,26.932290493642633,3.3297833849598764,5881260.0,2016/17,15.587281752664769,Boban Marjanovic
44,201628.0,2016/17,94007.0,,-0.55,0,0,0,0,0,1,0,1.88,79.38,61.0,Undrafted,25,0,2.5,0.6,0.0,0.0,0.2,0.2,0.0,0.2,4.9,0.3829999999999999,2.4,0.4,1.4,1.0,0.1,,,1,67.4,1.0,,-0.7985076962177717,0.30250000000000005,0.264285494645385,11.451135164013778,,,22.45925758261657,3.1552651966298058,1231500.0,2016/17,14.023744308560264,Bobby Brown
45,1626171.0,2016/17,1404600.0,22.0,-0.87,0,0,1,0,0,0,0,2.08,113.4,22.0,2015,64,13,6.8,0.5,0.3,0.2,0.6,1.5,1.2,3.5,15.6,0.488,5.9,0.3329999999999999,1.5,0.6609999999999999,0.9,0.0,,1,68.85,0.0,0.0,-2.0402208285265546,0.7569,0.5635508923888715,14.155263834653265,22.0,484.0,26.211168639053252,3.3036275007539238,1516320.0,2016/17,14.231797564195205,Bobby Portis
46,202711.0,2016/17,3573020.0,28.0,-1.83,0,0,1,0,0,0,0,2.01,102.51,31.0,2011,26,0,12.7,0.8,0.4,0.2,1.5,1.8,0.5,2.5,23.1,0.457,9.0,0.391,4.4,0.934,2.9,0.0,,0,3.73,0.0,0.0,,3.3489000000000004,1.469922939559464,15.088922014402213,28.0,784.0,25.373134328358216,3.2723458529287304,10500000.0,2016/17,16.166885910365842,Bojan Bogdanovic
47,2564.0,2016/17,7000000.0,,-1.06,0,1,0,0,0,0,0,2.03,113.4,21.0,2003,73,33,4.6,2.3,0.2,0.1,1.2,1.1,0.6,1.5,17.6,0.446,4.5,0.247,1.1,0.743,0.5,,,0,93.99,0.0,,,1.1236000000000002,0.7531127617273794,15.76142084987672,,,27.51826057414643,3.3505446039998383,,,,Boris Diaw
48,203078.0,2016/17,22116750.0,24.0,2.02,0,0,0,0,0,1,0,1.93,93.89,3.0,2012,77,77,23.1,3.5,1.1,0.3,2.0,2.2,0.7,2.4,34.9,0.482,17.2,0.4039999999999999,7.2,0.825,4.4,0.0,,1,74.86,0.0,0.0,1.1052568313867783,4.0804,1.6253899986480274,16.911845843179396,24.0,576.0,25.206045799887246,3.2659901398679323,23775506.0,2016/17,16.98416649108949,Bradley Beal
49,201148.0,2016/17,5709880.0,,0.32,0,0,0,1,0,0,0,2.08,106.59,8.0,2007,28,5,6.8,0.5,0.4,0.7,0.4,1.5,1.1,1.7,16.0,0.615,4.8,0.0,0.0,0.657,1.3,,,1,50.82,0.0,,0.2776317365982795,0.1024,0.09748962127725708,15.557708740784552,,,24.63711168639053,3.244040976970405,5955760.0,2016/17,15.599869544378485,Brandan Wright
50,101138.0,2016/17,1551659.0,,-1.62,0,0,1,0,0,0,0,2.03,113.4,33.0,2005,52,0,5.6,0.4,0.3,0.2,0.6,0.9,0.8,1.7,11.1,0.575,3.6,0.3329999999999999,0.1,0.875,1.7,,,1,25.5,0.0,,,2.6244000000000005,1.2876887573657687,14.25483588356054,,,27.51826057414643,3.3505446039998383,,,,Brandon Bass
